# t client_1 client_2 node_7_network node_5_network node_2_network node_0_cpu node_1_cpu node_4_cpu node_6_network node_3_io node_6_io node_2_io node_4_io node_5_cpu node_5_io node_6_cpu node_7_cpu node_4_network node_7_io node_3_network node_0_io node_2_cpu node_3_cpu node_1_io node_0_network node_1_network  cpu_max cpu_min cpu_avg io_max io_min io_avg net_max net_min net_avg
62.1 2160.0 55380.0 0.019767 0.021026 0.022901 0.0 0.61069 0.637752 0.026674 1.0 1.0 1.0 1.0 0.611876 1.0 0.659189 0.606187 0.019169 1.0 0.017947 0.0 0.601811 0.608874 0.702162 0.0 0.020404 0.659189 0.601811 0.619482714286 1.0 0.702162 0.957451714286 0.026674 0.017947 0.0211268571429 
64.1 2240.0 76340.0 0.021197 0.019942 0.018036 0.0 0.82588 0.810376 0.025568 1.0 1.0 1.0 1.0 0.852088 1.0 0.847254 0.850811 0.021212 1.0 0.026791 0.0 0.805519 0.916308 1.0 0.0 0.026174 0.916308 0.805519 0.844033714286 1.0 1.0 1.0 0.026791 0.018036 0.0227028571429 
66.1 2230.0 67960.0 0.02486 0.017993 0.019286 0.0 0.816133 0.727875 0.022357 1.0 1.0 1.0 1.0 0.699501 1.0 0.7502 0.729128 0.023609 0.995164 0.019894 0.0 0.799398 0.777252 1.0 0.0 0.019261 0.816133 0.699501 0.757069571429 1.0 0.995164 0.999309142857 0.02486 0.017993 0.0210371428571 
68.1 2240.0 64820.0 0.020442 0.019849 0.017363 0.0 0.732443 0.738882 0.016756 1.0 1.0 1.0 1.0 0.721317 1.0 0.767251 0.665507 0.027344 1.0 0.018618 0.0 0.687321 0.734067 1.0 0.0 0.015487 0.767251 0.665507 0.720969714286 1.0 1.0 1.0 0.027344 0.015487 0.0194084285714 
70.1 2140.0 61420.0 0.01859 0.01857 0.026052 0.0 0.639125 0.732709 0.019847 1.0 1.0 1.0 1.0 0.67399 0.82424 0.722928 0.700558 0.017349 0.905255 0.021071 0.0 0.647975 0.669501 1.0 0.0 0.019223 0.732709 0.639125 0.683826571429 1.0 0.82424 0.961356428571 0.026052 0.017349 0.0201002857143 
72.1 2230.0 70930.0 0.014896 0.019918 0.016761 0.0 0.772194 0.79575 0.018012 1.0 1.0 1.0 1.0 0.853779 1.0 0.741876 0.781125 0.023655 1.0 0.016773 0.0 0.766022 0.784838 1.0 0.0 0.017389 0.853779 0.741876 0.785083428571 1.0 1.0 1.0 0.023655 0.014896 0.0182005714286 
74.1 2150.0 68960.0 0.01987 0.018014 0.021787 0.0 0.726513 0.746176 0.02113 1.0 1.0 1.0 0.939726 0.775063 1.0 0.751129 0.744565 0.016124 0.851877 0.027394 0.0 0.810193 0.794691 0.899616 0.0 0.014234 0.810193 0.726513 0.764047142857 1.0 0.851877 0.955888428571 0.027394 0.014234 0.0197932857143 
76.1 2240.0 77480.0 0.011835 0.017444 0.018065 0.0 0.826947 0.815755 0.024956 1.0 1.0 1.0 1.0 0.854449 1.0 0.887323 0.877056 0.017417 1.0 0.016843 0.0 0.84115 0.890907 1.0 0.0 0.020551 0.890907 0.815755 0.856226714286 1.0 1.0 1.0 0.024956 0.011835 0.0181587142857 
78.1 2220.0 57980.0 0.024406 0.019168 0.021602 0.0 0.645112 0.663683 0.019168 1.0 1.0 1.0 1.0 0.631786 0.909749 0.684863 0.58142 0.014817 1.0 0.024183 0.0 0.667862 0.650942 1.0 0.0 0.026677 0.684863 0.58142 0.646524 1.0 0.909749 0.987107 0.026677 0.014817 0.0214315714286 
80.1 2160.0 78560.0 0.018656 0.019934 0.022452 0.0 0.87113 0.896815 0.018091 0.888203 1.0 1.0 0.921791 0.828259 1.0 0.87061 0.871114 0.018098 1.0 0.023696 0.0 0.866883 0.862504 1.0 0.0 0.027451 0.896815 0.828259 0.866759285714 1.0 0.888203 0.972856285714 0.027451 0.018091 0.0211968571429 
