# t client_1 client_2 node_7_network node_5_network node_2_network node_0_cpu node_1_cpu node_4_cpu node_6_network node_3_io node_6_io node_2_io node_4_io node_5_cpu node_5_io node_6_cpu node_7_cpu node_4_network node_7_io node_3_network node_0_io node_2_cpu node_3_cpu node_1_io node_0_network node_1_network  cpu_max cpu_min cpu_avg io_max io_min io_avg net_max net_min net_avg
56.1 45880.0 46400.0 0.000666 0.000648 0.000666 0.0 0.948189 1.0 0.000666 0.0 0.0 0.0 0.0 0.972257 0.0 1.0 1.0 0.000666 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000638 1.0 0.948189 0.988635142857 0.0 0.0 0.0 0.000666 0.000638 0.000659428571429 
58.1 46830.0 46480.0 0.000666 0.000667 0.000666 0.0 1.0 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.00067 0.0 0.000663 0.0 0.999999 1.0 0.0 0.0 0.000666 1.0 0.999999 0.999999857143 0.0 0.0 0.0 0.00067 0.000663 0.000666285714286 
60.1 4100.0 24790.0 0.021469 0.019637 0.019605 0.0 0.27488 0.332878 0.02399 0.985983 0.975131 0.967231 0.987623 0.340124 0.957749 0.324123 0.337907 0.023347 0.966249 0.022079 0.0 0.353316 0.30967 0.984987 0.0 0.017068 0.353316 0.27488 0.324699714286 0.987623 0.957749 0.974993285714 0.02399 0.017068 0.0210278571429 
62.1 2020.0 89030.0 0.017539 0.016907 0.018166 0.0 0.951872 0.957916 0.020633 0.962113 0.885317 0.931378 0.917123 0.984935 0.896255 0.949254 1.0 0.017513 0.866 0.021916 0.0 0.996313 0.998622 0.901876 0.0 0.021252 1.0 0.949254 0.976987428571 0.962113 0.866 0.908580285714 0.021916 0.016907 0.0191322857143 
64.1 1590.0 90270.0 0.016897 0.013775 0.016205 0.0 1.0 0.981251 0.017531 0.820254 0.906624 0.874793 0.413334 0.976309 0.689409 0.984434 0.966999 0.014405 0.618959 0.01816 0.0 1.0 0.99462 0.66454 0.0 0.013164 1.0 0.966999 0.986230428571 0.906624 0.413334 0.712559 0.01816 0.013164 0.0157338571429 
66.1 1530.0 87570.0 0.015668 0.012483 0.014322 0.0 0.938438 0.936815 0.016261 0.572375 0.845905 0.487851 0.75253 0.910192 0.782846 0.952059 0.999248 0.016872 0.635854 0.012518 0.0 1.0 0.96486 0.6875 0.0 0.014998 1.0 0.910192 0.957373142857 0.845905 0.487851 0.680694428571 0.016872 0.012483 0.0147317142857 
68.1 1490.0 89940.0 0.011894 0.011291 0.01643 0.0 0.973311 0.959813 0.013146 0.835167 0.703617 0.669754 0.46875 1.0 0.65075 0.974611 0.972063 0.011886 0.750274 0.018163 0.0 0.982754 1.0 0.47525 0.0 0.013774 1.0 0.959813 0.980364571429 0.835167 0.46875 0.650508857143 0.018163 0.011291 0.0137977142857 
70.1 1530.0 88920.0 0.016271 0.011284 0.014418 0.0 0.953005 0.903804 0.015019 0.76148 0.736122 0.585989 0.574726 0.997433 0.587523 0.970128 0.966131 0.014976 0.727499 0.01504 0.0 1.0 1.0 0.78125 0.0 0.016882 1.0 0.903804 0.970071571429 0.78125 0.574726 0.679227 0.016882 0.011284 0.0148414285714 
72.1 1510.0 90040.0 0.012533 0.013162 0.014398 0.0 0.968309 0.973566 0.010028 0.575365 0.581011 0.504871 0.822505 0.98787 0.782123 0.97711 0.98462 0.013151 0.759106 0.013791 0.0 0.977189 1.0 0.677005 0.0 0.015636 1.0 0.968309 0.981237714286 0.822505 0.504871 0.671712285714 0.015636 0.010028 0.0132427142857 
74.1 1500.0 89570.0 0.015018 0.0094 0.013756 0.0 1.0 0.970703 0.014419 0.684877 0.790996 0.557388 0.6665 0.965502 0.434629 1.0 0.964118 0.015015 0.767328 0.01754 0.0 0.942313 1.0 0.797394 0.0 0.013788 1.0 0.942313 0.977519428571 0.797394 0.434629 0.671301714286 0.01754 0.0094 0.0141337142857 
